X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-127.651295225,55.259524314,42,5 NHA,Northern,Wrinch Memorial Hospital,"2510 Highway 62, Hazelton ",Main Entrance - Public Health Nursing Office next to Main Entrance,Hazelton,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-842-4411",https://northernhealthcovid.secureform.ca/index.php,{0BC43D6A-5E2B-4BE7-9982-AC5A852D9263},Open,Yes,Yes,2021/11/04 22:09:33+00,1,Yes,Yes,Yes
-129.992103363,58.441827855,43,5 NHA,Northern,"Stikine Health Centre
","7171 Highway 37, Dease Lake",,Dease Lake,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-771-3911",https://northernhealthcovid.secureform.ca/index.php,{46DCEFCF-030A-4209-B0FD-7B3AE8083ABE},Open,Yes,Yes,2021/11/04 21:57:49+00,1,Yes,Yes,Yes
-127.16292286,54.7849654330001,44,5 NHA,Northern,Bulkley Valley District Hospital,"3950 8th Avenue, Smithers",Emergency Department,Smithers,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,7 Days,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-847-6449",https://northernhealthcovid.secureform.ca/index.php,{F821002D-C410-4116-8AD8-E348818C7AC0},Open,Yes,Yes,2021/10/05 19:34:32+00,1,Yes,Yes,Yes
-126.652589647,54.3962127890001,45,5 NHA,Northern,"Houston Health Centre
","3202 14th Ave, Houston","Alternate testing site for winter months: Coast Mountain College, 3221 14th Street, Houston",Houston,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-845-7884",https://northernhealthcovid.secureform.ca/index.php,{D0A1A2B3-F5EF-481A-A401-1308D6EBDBAC},Open,Yes,Yes,2021/11/08 21:45:08+00,1,Yes,Yes,Yes
-123.121234158,49.241695017,46,3 VCHA,Vancouver Coastal,St. Vincent Collection Centre,"4875 Heather Street, Vancouver ",Access site off 33rd Avenue. Pull into gravel parking lot and you will see collection centre tents. It is behind the building. Do not access from Heather Street.,Vancouver,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,7 days a week,"Drive up location; see website for current wait time. Open to public, health care workers and first responders. Saline gargle test available for adults and children (ages 4+); see children note below. Note: Testing for travel purposes not provided.",,http://www.edwaittimes.ca/covidtestingwaittime.aspx,{D9D89C85-927E-459E-924A-47876A5D3CDB},Open,No,No,2022/01/04 16:13:50+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,Yes
-123.125848821,49.2444891150001,47,0 PHSA,Provincial Health Services,BC Children & Women Campus,"4500 Oak Street, Vancouver",Use Entrance 17 located closest to Oak Street. There is reserved parking available for those being tested.,Vancouver,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,,,Closed statutory holidays. Note: this site does not provide testing for travel purposes.,"Open to symptomatic families with children under 12, pregnant women and health care workers. Walk-ins are accepted.",,,{5745A894-C957-4861-A267-080ACB9BBE93},Open,No,No,2022/01/04 16:04:21+00,1,Accepts children aged 0 – 12,Yes,No
-123.122431122,49.2621386380001,48,3 VCHA,Vancouver Coastal,Blusson Spinal Cord Centre,"818 West 10th Ave, Vancouver, BC V5Z 1M9",Closed,Vancouver,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,"Site Removed from map 6 JulySite Closed as of 16:00, 24 June","Note: This site is now CLOSED.  Please use this mapping tool, or contact your Primary Health Provider, to determine best way to access testing.",,,{DE3A6291-90DA-4AF0-8977-D351BA4C0050},Close,No,No,2020/09/16 23:04:52+00,1,,,
-123.106188027,49.3197268210001,49,3 VCHA,Vancouver Coastal,North Vancouver COVID-19 Collection Centre,"255 Lloyd Avenue, North Vancouver",Located at the ICBC Claim Centre,North Vancouver,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,"7 days; open statutory holidays","Open on a walk-in or drive-through basis to those with COVID-19 symptoms. See website for current wait time. Saline gargle test available for all adults & children; see children note for how to prepare. Note: Testing for travel purposes not provided",,http://www.edwaittimes.ca/covidtestingwaittime.aspx,{33D8FE6C-EC9D-4CC6-AA59-B08F5A5230CF},Open,Yes,No,2021/12/24 21:54:58+00,1,"Yes. Saline gargle test available for children. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,Yes
-123.146464445,49.1687979020001,50,3 VCHA,Vancouver Coastal,Richmond Collection Centre (Richmond Hospital),"7000 Westminster Hwy, Richmond",Located beside the parkade at Richmond Hospital. Access from outside only.,Richmond,13:30 - 17:00,13:30 - 17:00,13:30 - 17:00,13:30 - 17:00,,,,Last day of operation on April 1. Public can go to Richmond Collection Centre - JetSet for testing.,"A walk-in location only; first-come, first-served. Open to public, healthcare workers and first responders. Saline gargle test available for adults & children (ages 4+). See children notes for how to prepare. Note: Testing for travel purposes not provided",,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{47820565-6A18-47B0-BD9D-8ADBAD4F89FD},Close,Yes,No,2021/04/06 15:30:36+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",,
-123.129072146,49.2774064750001,51,3 VCHA,Vancouver Coastal,City Centre UPCC,"1290 Hornby St, Vancouver",,Vancouver,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,09:00 - 17:00,"7 days; open statutory holidays","Check wait time using the website link provided below. Open to public, health care workers and first responders.  Walk-ins are accepted.",,https://medimap.ca/City-Centre-Urgent-Primary-Care-Centre,{A74022D9-2192-42C7-B7FB-ADC8934A5183},Open,Yes,No,2021/05/18 19:53:37+00,1,Yes,Yes,No
-123.083558627,49.3123181030001,52,3 VCHA,Vancouver Coastal,North Vancouver UPCC,"Suite 200-221 W Esplanade, North Vancouver",,North Vancouver,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,19:00 - 21:00,,"Mon - Sat; open statutory holidays","By appointment only. Call 604-973-1600 to book an appointment. Open to public, health care workers and first responders.",604-973-1600,https://seymourhealth.ca/north-vancouver-urgent-primary-care-centre/index.html,{DC59DF4D-B297-4D7B-A2C5-1AF1CD96F887},Open,Yes,Yes,2021/12/24 18:42:18+00,1,Yes,Yes,No
-123.069942387,49.274442299,53,3 VCHA,Vancouver Coastal,REACH UPCC,"1145 Commercial Drive, Vancouver",,Vancouver,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,09:00 - 17:00,"7 days; open statutory holidays","Call 604-216-3138 for all COVID related inquiries – appointments only at this time (no walk-in). Open to public, health care workers and first responders.",604-216-3138,,{B740C573-EE71-4A70-BBDE-291BEDB28ED3},Open,Yes,Yes,2022/01/04 16:10:09+00,1,Yes,Yes,No
-124.961580179,49.7138897940001,54,4 VIHA,Vancouver Island,Comox Valley COVID-19 Test Collection & Assessment Site,"505 Crown Isle Boulevard, Courtenay","Located at the ICBC Claim Centre. Entrance on your right about 50 M after turning onto Crown Isle Blvd from Ryan Road, just past the Toyota car dealership; turn right into the ICBC entrance.",Courtenay,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{242909F5-5492-4AE9-AD56-C6EC77F68E42},Open,Yes,Yes,2021/08/30 16:54:30+00,1,Yes,Yes,Yes
-125.27284037,50.028348372,55,4 VIHA,Vancouver Island,Campbell River COVID-19 Collection & Assessment Site,"1358 Marwalk Street, Campbell River","14th Avenue and Marwalk, east of the Eagles Club",Campbell River,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{8EE7BAB0-2DFD-4CF9-9ED6-16A12A3BC537},Open,Yes,Yes,2021/08/30 16:58:26+00,1,Yes,Yes,Yes
-127.066977634,50.5810707200001,56,4 VIHA,Vancouver Island,Port McNeill Hospital,"2750 Kingcome Pl, Port McNeill",Tent in hospital Parking Lot,Port McNeill,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{292E8F97-9C01-42E5-B351-CD7FC0D54239},Open,Yes,Yes,2021/08/30 16:59:02+00,1,Yes,Yes,Yes
-127.502981071,50.720010347,57,4 VIHA,Vancouver Island,Port Hardy Hospital,"9120 Granville Street, Port Hardy",Tent in hospital Parking Lot,Port Hardy,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{26771D7A-CB87-4F1D-AEB9-86978F2A1F9A},Open,Yes,Yes,2021/08/30 17:01:23+00,1,Yes,Yes,Yes
-124.794634354,49.256818815,58,4 VIHA,Vancouver Island,Port Alberni COVID-19 Collection Site,"4480 Vimy Street, Port Alberni",Drive past the Glenwood Sports Centre. The testing bays are located on the right hand side across from Port Alberni Paving.,Port Alberni,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{D0C0A744-78E9-4825-90CF-30DB8860EEF1},Open,Yes,Yes,2021/08/30 17:01:33+00,1,Yes,Yes,Yes
-124.029030054,49.2180896130001,59,4 VIHA,Vancouver Island,Nanaimo North Town Centre,"114- 4750 Rutherford Road, Nanaimo",Access from outside the mall ONLY – next to Galaxy Theatre,Nanaimo,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{C1FD9E80-B05D-43E2-9ACF-61278150A223},Open,Yes,Yes,2021/11/17 22:32:46+00,1,Yes,Yes,Yes
-124.450908597,49.345875811,60,4 VIHA,Vancouver Island,Qualicum Beach Civic Centre,"747 Jones Street, Qualicum Beach",In the side parking lot,Qualicum Beach,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{88D85DD7-1877-4C25-8EE3-4402BC97F053},Open,Yes,Yes,2021/08/30 17:01:48+00,1,Yes,Yes,Yes
-125.908589845,49.1513790240001,61,4 VIHA,Vancouver Island,Tofino General Hospital,"261 Neill Street, Tofino",Trailer in hospital parking lot,Tofino,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{391E898A-BA32-4473-83C1-58C2CB902632},Open,Yes,Yes,2021/08/30 17:01:55+00,1,Yes,Yes,Yes
-123.694903017,48.7605256140001,62,4 VIHA,Vancouver Island,Cowichan Valley COVID-19 Test Collection Site,"5151 Polkey Road, Duncan","Located at the ICBC Claim Centre approximately ½ km down Polkey Road, off Allenby Road.  There is a large hedge out front of the building.",Duncan,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{FBBBB8CF-7AF8-4CC5-8C5D-E18924804220},Open,Yes,Yes,2021/08/30 17:02:02+00,1,Yes,Yes,Yes
-123.409449619,48.596176852,63,4 VIHA,Vancouver Island,Peninsula Health Unit,"2170 Mt Newton Cross Rd, Saanichton",Tent in hospital Parking Lot,Saanichton,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{90380B50-5DE9-412B-A9EB-92B4855B0F0A},Open,Yes,Yes,2021/08/30 17:02:10+00,1,Yes,Yes,Yes
-123.508443911,48.862052023,64,4 VIHA,Vancouver Island,Lady Minto Hospital,"135 Crofton Road, Salt Spring Island",,Salt Spring Island,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{5CEAC6DD-135E-40D1-B894-0F1A965BE716},Open,Yes,Yes,2021/08/30 17:02:21+00,1,Yes,Yes,Yes
-123.375340914,48.440742512,65,4 VIHA,Vancouver Island,Victoria COVID-19 Collection Site - ICBC,"425 Dunedin Street, Victoria","Located at the ICBC Claim Centre – access from Gorge Road E; look for the signs. For walk-in, access building through parking lot at 429 Garbally Road from Gorge Road",Victoria,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{D2E59C87-DE6D-412B-AC79-E2BDA59BA3AE},Open,Yes,Yes,2021/08/30 17:02:29+00,1,Yes,Yes,Yes
-123.736295672,49.47873593,67,3 VCHA,Vancouver Coastal,Sechelt Assessment Centre,Address will be provided after phoning,,Sechelt,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,08:30 - 15:30,,,"Mon - Fri; closed statutory holidays. Weekends, holidays and after clinic hours, testing is available at Sechelt Hospital - Emergency Department.","Health care staff, physicians and public are asked to call the Hotline at 604-740-1252 (phone or text) or by email coastrespclinic@gmail.com. Saline gargle test available for adults and children (ages 4+). See children notes for how to prepare.",604-740-1252,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{76EAB2BF-ADB1-4611-9A46-A2571F67CC01},Open,Yes,Yes,2022/01/04 16:07:17+00,1,"Yes. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-116.9675515,51.2970505000001,68,1 IHA,Interior,Golden & District Hospital,"835 9th Ave S, Golden",Outdoor testing in car ,Golden,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{975EE804-C527-49F4-85C7-2CAF7333B89B},Open,Yes,Yes,2021/08/26 19:52:20+00,1,Yes,Yes,No
-118.4687473,49.0296242000001,69,1 IHA,Interior,Boundary District Hospital,"7649 22nd St, Grand Forks",Outdoor testing in an outside shelter by the emergency department,Grand Forks,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{A8116544-4CCC-4305-AF3A-EF759D137128},Open,Yes,Yes,2021/08/26 19:52:22+00,1,Yes,Yes,Yes
-118.1904797,50.9773376000001,70,1 IHA,Interior,Revelstoke Health Centre,"1200 Newlands Rd, Revelstoke",Drive through testing next to hospital,Revelstoke,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{9A06D985-BD08-49D7-B871-5F1971CA157F},Open,Yes,Yes,2021/08/26 19:52:26+00,1,Yes,Yes,Yes
-114.8923638,49.7215776,71,1 IHA,Interior,Sparwood Health Centre,"570 Pine Ave, Sparwood","Testing in client vehicle, beside Health Centre garage.",Sparwood,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{70773C29-5936-4FB3-AF8F-E951B4314605},Open,Yes,Yes,2021/08/26 19:52:30+00,1,Yes,Yes,Yes
-123.05969,49.08486,77,2 FHA,Fraser,Delta COVID-19 Testing and Immunization Centre,"4470 Clarence Taylor Crescent, Delta",,Delta,"08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","08:30 - 15:30; closed 11:30 - 12:30","7 days; open statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{E4BBEA00-550F-45DB-8FB4-F4BC0733517B},Open,Yes,Yes,2021/12/29 21:51:09+00,1,Accepts children aged 3 months and over. ,Yes,No
-126.942763461,50.5938190800001,78,4 VIHA,Vancouver Island,Cormorant Island Health Centre,"49 School Road, Alert Bay",Tent in Parking Lot,Alert Bay,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{EE8DB7A6-EB32-4A4A-8186-632837BD8C9A},Open,Yes,Yes,2021/08/30 17:02:38+00,1,Yes,Yes,Yes
-127.014669768,50.6240999980001,79,4 VIHA,Vancouver Island,Sointula Health Centre,"25 2nd Street, Sointula Island",Tent in Parking Lot,Sointula,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{B7D1E2A8-A184-41EC-8C2C-A0948B12DAED},Open,Yes,Yes,2021/08/30 17:02:47+00,1,Yes,Yes,Yes
-127.48796633,50.425597081,80,4 VIHA,Vancouver Island,Port Alice Health Centre,"1090 Marine Drive, Port Alice",Tent in Parking Lot,Port Alice,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{9D07A5FD-892F-422E-81D4-448BB156FCD3},Open,Yes,Yes,2021/08/30 17:02:56+00,1,Yes,Yes,Yes
-126.051259375,49.78045853,82,4 VIHA,Vancouver Island,Gold River,"601 Trumpeter Drive, Gold River",Drive Through Testing,Gold River,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{6306859F-7C69-49E2-88F6-051FD9294B36},Open,Yes,Yes,2021/08/30 17:03:04+00,1,Yes,Yes,Yes
-128.143326098,52.1611984690001,83,3 VCHA,Vancouver Coastal,Bella Bella - RW Large Memorial Hospital Emergency Department,"88 Waglisla Street, Bella Bella",Emergency Department,Bella Bella,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,7 Days,"Open to public, health care workers and first responders. Saline gargle test is available for adults and children (ages 4+).  See the children notes for how to prepare.",250-957-2314,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{4C93D5F6-5BB3-4ED9-8BF6-F5194813D710},Open,Yes,No,2021/08/30 17:09:03+00,1,"Yes. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-126.757975735,52.3742180680001,84,3 VCHA,Vancouver Coastal,Bella Coola General Hospital - Emergency Department,"1025 Elcho Street, Bella Coola",Emergency Department,Bella Coola,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,7 Days,"Open to public, health care workers and first responders. Saline gargle test is available for adults and children (ages 4+).  See the children notes for how to prepare.",250-799-5311,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{A9300483-6A36-4A6B-8B54-25703439324A},Open,Yes,No,2021/08/30 17:09:27+00,1,"Yes. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-124.51846704,49.8509929690001,85,3 VCHA,Vancouver Coastal,Powell River Supported Self-Collection Testing Site,"5000 Joyce Avenue, Powell River","Located at the 3rd floor parking lot of the Powell River General Hospital, accessed from Kiwanis Avenue near Willingdon Creek Village. Follow the signage from Joyce Avenue and look for the orange canister.",Powell River,09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,,,Mon - Fri at the Testing Site. Testing is available at the Emergency Department outside of the hours below.,Appointment required. Fill out the form thru website below or call to request an appt. A saline gargle test kit will be available for pick up at your scheduled appt time. You can either complete the test in your vehicle on-site or inside the testing site.,"604-485-2028, available 09:00 - 14:00, Mon - Fri except stat holidays, to help with booking an appointment",https://www.prcovidinfo.com/covid-testing/,{D4C77E7E-5BA7-4145-8E1E-67E2A6492507},Open,Yes,Yes,2022/01/04 16:06:41+00,1,"17 and under. Children under 4, and others who are not able to complete the saline gargle test will be tested through the Emergency Dept. If you are bringing a school-aged child to the supported self-testing clinic, please watch this video to prepare them. https://www.youtube.com/watch?v=ZvqjkbD-moA",Yes,Yes
-123.136102876,49.7419411160001,86,3 VCHA,Vancouver Coastal,Squamish Assessment Centre,"40456 Government Road, Squamish",Held at the Old Shady Tree Pub location,Squamish,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 13:00,,Mon - Sat,Open on a drive-through basis. Saline gargle test available for adults and children (ages 4+). See children notes for how to prepare. ,604-359-9559,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{F11ACB03-5BDB-4698-8FA0-3D1E8C138DF9},Open,Yes,No,2022/01/04 16:09:07+00,1,"Yes. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,Yes
